"","Package","PackageDescription","Author.","Depends.","In.views.","Maintainer.","Published.","Version.","Imports.","LinkingTo.","Suggests.","SystemRequirements.","URL.","BugReports.","Enhances.","Reverse.depends.","Reverse.imports.","Reverse.suggests.","Reverse.linking.to.","Reverse.enhances."
"105","RSGHB","Functions for estimating models using a Hierarchical Bayesian (HB) framework. The flexibility comes in allowing the user to specify the likelihood function directly instead of assuming predetermined model structures. Types of models that can be estimated with this code include the family of discrete choice models (Multinomial Logit, Mixed Logit, Nested Logit, Error Components Logit and Latent Class) as well ordered response models like ordered probit and ordered logit. In addition, the package allows for flexibility in specifying parameters as either fixed (non-varying across individuals) or random with continuous distributions. Parameter distributions supported include normal, positive/negative log-normal, positive/negative censored normal, and the Johnson SB distribution. Kenneth Train's Matlab and Gauss code for doing Hierarchical Bayesian estimation has served as the basis for a few of the functions included in this package. These Matlab/Gauss functions have been rewritten to be optimized within R. Considerable code has been added to increase the flexibility and usability of the code base. Train's original Gauss and Matlab code can be found here: http://elsa.berkeley.edu/Software/abstracts/train1006mxlhb.html See Train's chapter on HB in Discrete Choice with Simulation here: http://elsa.berkeley.edu/books/choice2.html; and his paper on using HB with non-normal distributions here: http://eml.berkeley.edu//~train/trainsonnier.pdf.","Jeff Dumont [aut, cre],
  Jeff Keller [aut],
  Chase Carpenter [ctb]","methods","Bayesian, Bayesian, Econometrics","Jeff Dumont  <Jeff.Dumont at rsginc.com>","2015-12-16","1.1.2","graphics, grDevices, stats, utils",NA,NA,NA,"https://github.com/RSGInc/RSGHB",NA,NA,NA,NA,NA,NA,NA
"106","rstan","User-facing R functions are provided to parse, compile, test, estimate, and analyze Stan models by accessing the header-only Stan library provided by the 'StanHeaders' package. The Stan project develops a probabilistic programming language that implements full Bayesian statistical inference via Markov Chain Monte Carlo, rough Bayesian inference via 'variational' approximation, and (optionally penalized) maximum likelihood estimation via optimization. In all three cases, automatic differentiation is used to quickly and accurately evaluate gradients without burdening the user with the need to derive the partial derivatives.","Jiqiang Guo [aut],
  Jonah Gabry [aut],
  Ben Goodrich [cre, aut],
  Daniel Lee [ctb],
  Krzysztof Sakrejda [ctb],
  Trustees of Columbia University [cph],
  Oleg Sklyar [cph] (R/cxxfunplus.R),
  The R Core Team [cph] (R/pairs.R, R/dynGet.R),
  Jens Oehlschlaegel-Akiyoshi [cph] (R/pairs.R),
  Hadley Wickham [cph] (R/rtools.R),
  Joel de Guzman [cph] (Boost),
  John Fletcher [cph] (Boost),
  Thomas Heller [cph] (Boost),
  Eric Niebler [cph] (Boost)","R (≥ 3.4.0), ggplot2 (≥ 2.0.0), StanHeaders (≥ 2.17.2)","Bayesian","Ben Goodrich  <benjamin.goodrich at columbia.edu>","2018-10-01","2.17.4","methods, stats4, inline, gridExtra (≥ 2.0.0), Rcpp (≥
0.12.0)","Rcpp (≥ 0.12.0), RcppEigen (≥ 0.3.3.3.0), BH (≥ 1.65), StanHeaders (≥ 2.17.2)","RUnit, RcppEigen (≥ 0.3.3.3.0), BH (≥ 1.65), parallel, KernSmooth, loo (≥ 1.0.0), shinystan (≥ 2.2.1), bayesplot, rstantools, rstudioapi, Matrix, knitr (≥ 1.15.1)","pandoc","http://discourse.mc-stan.org, http://mc-stan.org","https://github.com/stan-dev/rstan/issues/",NA,"bayesLopod, clinDR, CopulaDTA, dfped, dfpk, dgo, edstan, eggCounts, evidence, fergm, GPRMortality, HCT, idem, JMbayes, MADPop, MIXFIM, tmbstan, varian, walker","adnuts, BANOVA, bayesdfa, beanz, bmlm, BMSC, breathteststan, brms, conStruct, ctsem, DeLorean, DrBats, gastempt, ggfan, glmmfields, gppm, hBayesDM, idealstan, MCMCvis, MetaStan, prophet, RBesT, rstanarm, rstansim, shinystan, survHE, themetagenomics, trialr","bayesImageS, bayesplot, blavaan, bridgesampling, broom, broom.mixed, finalfit, ggmcmc, loo, lsmeans, nimble, pollimetry, rstantools, sjstats, tidybayes","bayesdfa, bayesLopod, beanz, bmlm, BMSC, breathteststan, conStruct, ctsem, dfpk, eggCounts, gastempt, glmmfields, idealstan, idem, MADPop, MetaStan, RBesT, rstanarm, survHE, tmbstan, trialr, walker",NA
"107","rstiefel","Simulation of random orthonormal matrices from linear and quadratic exponential family distributions on the Stiefel manifold. The most general type of distribution covered is the matrix-variate Bingham-von Mises-Fisher distribution. Most of the simulation methods are presented in Hoff(2009) ""Simulation of the Matrix Bingham-von Mises-Fisher Distribution, With Applications to Multivariate and Relational Data"" <doi:10.1198/jcgs.2009.07177>. The package also includes functions for optimization on the Stiefel manifold based on algorithms described in Wen and Yin (2013) ""A feasible method for optimization with orthogonality constraints"" <doi:10.1007/s10107-012-0584-1>.","Peter Hoff and Alexander Franks","R (≥ 2.10)","Bayesian","Peter Hoff  <peter.hoff at duke.edu>","2018-06-12","0.20",NA,NA,NA,NA,NA,NA,NA,NA,"bayesammi, baystability",NA,NA,NA
"108","runjags","User-friendly interface utilities for MCMC models via Just Another Gibbs Sampler (JAGS), facilitating the use of parallel (or distributed) processors for multiple chains, automated control of convergence and sample length diagnostics, and evaluation of the performance of a model using drop-k validation or against simulated data. Template model specifications can be generated using a standard lme4-style formula interface to assist users less familiar with the BUGS syntax. A JAGS extension module provides additional distributions including the Pareto family of distributions, the DuMouchel prior and the half-Cauchy prior.","Matthew Denwood [aut, cre],
  Martyn Plummer [cph] (Copyright holder of the code in
    /src/distributions/jags, src/distributions/DPar1.*, configure.ac,
    and original copyright holder of some modified code where
    indicated)","R (≥ 2.14.0)","Bayesian","Matthew Denwood  <md at sund.ku.dk>","2016-07-25","2.0.4-2","parallel, lattice (≥ 0.20-10), coda (≥ 0.17-1), stats, utils",NA,"rjags, modeest, knitr","JAGS (http://mcmc-jags.sourceforge.net)","http://runjags.sourceforge.net",NA,NA,NA,"BANOVA, bayescount, bfw, IsotopeR, metaBMA, RcmdrPlugin.RMTCJags, TreeBUGS","blavaan, bridgesampling, icensBKL, metamisc, surveillance, tidybayes",NA,NA
"109","Runuran","Interface to the UNU.RAN library for Universal Non-Uniform RANdom variate generators. Thus it allows to build non-uniform random number generators from quite arbitrary distributions. In particular, it provides an algorithm for fast numerical inversion for distribution with given density function. In addition, the package contains densities, distribution functions and quantiles from a couple of distributions.","Josef Leydold [aut, cre],
  Wolfgang H""ormann [aut]","R (≥ 3.0.0)","Bayesian, Distributions","Josef Leydold  <josef.leydold at wu.ac.at>","2017-10-25","0.24","methods, stats",NA,NA,NA,"http://statmath.wu.ac.at/unuran/",NA,NA,"riskSimul, RunuranGUI","glmBfp, trawl","copula, rvgtest, Tinflex",NA,NA
"110","RxCEcolInf","Fits the R x C inference model described in Greiner and Quinn (2009). Allows incorporation of survey results.","D. James Greiner, Paul Baines, and Kevin M. Quinn","MASS, MCMCpack, mvtnorm, lattice","Bayesian","Kevin M. Quinn  <kquinn at law.berkeley.edu>","2013-07-24","0.1-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","SamplerCompare","A framework for running sets of MCMC samplers on sets of distributions with a variety of tuning parameters, along with plotting functions to visualize the results of those simulations.","Madeleine Thompson, except dchud.f and dchdd.f, which were written by G. W. Stewart.","R (≥ 2.15.1)","Bayesian","Madeleine Thompson  <madeleineth at gmail.com>","2018-09-10","1.3.0","methods, mvtnorm",NA,"ggplot2 (≥ 0.9.2), lintr",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","SampleSizeMeans","A set of R functions for calculating sample size requirements using three different Bayesian criteria in the context of designing an experiment to estimate a normal mean or the difference between two normal means. Functions for calculation of required sample sizes for the Average Length Criterion, the Average Coverage Criterion and the Worst Outcome Criterion in the context of normal means are provided. Functions for both the fully Bayesian and the mixed Bayesian/likelihood approaches are provided.","Lawrence Joseph and Patrick Belisle",NA,"Bayesian","Lawrence Joseph  <lawrence.joseph at mcgill.ca>","2012-12-10","1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","SampleSizeProportions","A set of R functions for calculating sample size requirements using three different Bayesian criteria in the context of designing an experiment to estimate the difference between two binomial proportions. Functions for calculation of required sample sizes for the Average Length Criterion, the Average Coverage Criterion and the Worst Outcome Criterion in the context of binomial observations are provided. In all cases, estimation of the difference between two binomial proportions is considered. Functions for both the fully Bayesian and the mixed Bayesian/likelihood approaches are provided.","Lawrence Joseph, Roxane du Berger
        and Patrick Belisle",NA,"Bayesian","Lawrence Joseph  <lawrence.joseph at mcgill.ca>","2009-12-17","1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","sbgcop","Estimation and inference for parameters in a Gaussian copula model, treating the univariate marginal distributions as nuisance parameters as described in Hoff (2007) <doi:10.1214/07-AOAS107>. This package also provides a semiparametric imputation procedure for missing multivariate data.","Peter Hoff",NA,"Bayesian","Peter Hoff  <peter.hoff at duke.edu>","2018-05-29","0.980",NA,NA,NA,NA,"http://pdhoff.github.io/",NA,NA,NA,NA,NA,NA,NA
"115","SimpleTable","SimpleTable provides a series of methods to conduct Bayesian inference and sensitivity analysis for causal effects from 2 x 2 and 2 x 2 x K tables when unmeasured confounding is present or suspected.","Kevin M. Quinn,","R (≥ 2.5.1), hdrcde, locfit, MCMCpack, tcltk","Bayesian","Kevin M. Quinn  <kquinn at law.berkeley.edu>","2012-06-03","0.1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","sna","A range of tools for social network analysis, including node and graph-level indices, structural distance and covariance methods, structural equivalence detection, network regression, random graph generation, and 2D/3D network visualization.","Carter T. Butts [aut, cre, cph]","R (≥ 2.0.0), utils, statnet.common, network","Bayesian, Optimization, SocialSciences","Carter T. Butts  <buttsc at uci.edu>","2016-08-08","2.4",NA,NA,"rgl, numDeriv, SparseM",NA,"http://www.statnet.org",NA,NA,"bipartite, CCMnet, CEoptim, cssTools, egonet, hergm, ndtv, NetCluster, Rambo, relevent, SSrat, statnet","Blaunet, btergm, CINNA, compete, dnr, econet, egoTERGM, enaR, ftsspec, geomnet, ggnetwork, gwdegree, ITNr, keyplayer, latentnet, netdiffuseR, NetworkExtinction, OutbreakTools, qgraph, quanteda, sfc, spaceNet, statnetWeb, strategicplayers, tnam, VBLPCM","asnipe, blockmodeling, ChemoSpec, equateIRT, ergm, GGally, haplotypes, HiveR, MRPC, MSG, network, pkggraph, QuantNorm, sand, tsna",NA,"texreg"
"117","spBayes","Fits univariate and multivariate spatio-temporal random effects models for point-referenced data using Markov chain Monte Carlo (MCMC). Details are given in Finley, Banerjee, and Gelfand (2015) <doi:10.18637/jss.v063.i13> and Finley, Banerjee, and Cook (2014) <doi:10.1111/2041-210X.12189>.","Andrew Finley [aut, cre],
  Sudipto Banerjee [aut]","R (≥ 1.8.0), coda, magic, abind, Formula","Bayesian, Spatial, SpatioTemporal","Andrew Finley  <finleya at msu.edu>","2017-07-19","0.4-1",NA,NA,"MBA, geoR",NA,"http://blue.for.msu.edu/software.html",NA,NA,NA,"SpatialTools","ExceedanceTools",NA,NA
"118","spikeslab","Spike and slab for prediction and variable selection in linear regression models. Uses a generalized elastic net for variable selection.","Hemant Ishwaran","R (≥ 3.0.0), lars, randomForest, parallel","Bayesian","Udaya B. Kogalur  <ubk at kogalur.com>","2013-04-18","1.1.5",NA,NA,NA,NA,"http://web.ccs.miami.edu/~hishwaran http://www.kogalur.com",NA,NA,NA,"SentimentAnalysis","CorReg",NA,NA
"119","spikeSlabGAM","Bayesian variable selection, model choice, and regularized estimation for (spatial) generalized additive mixed regression models via stochastic search variable selection with spike-and-slab priors.","Fabian Scheipl [aut, cre],
  Bettina Gruen [ctb]","R (≥ 2.15.1)","Bayesian","Fabian Scheipl  <fabian.scheipl at stat.uni-muenchen.de>","2018-09-17","1.1-14","akima, coda, cluster, ggplot2 (≥ 2.0.0), gridExtra (≥
2.0.0), MASS, MCMCpack, mvtnorm, R2WinBUGS, reshape, scales, splines, parallel",NA,"mboost, mlbench, gtable",NA,"https://github.com/fabian-s/spikeSlabGAM",NA,NA,NA,NA,NA,NA,NA
"120","spTimer","Fits, spatially predicts and temporally forecasts large amounts of space-time data using [1] Bayesian Gaussian Process (GP) Models, [2] Bayesian Auto-Regressive (AR) Models, and [3] Bayesian Gaussian Predictive Processes (GPP) based AR Models for spatio-temporal big-n problems. Bakar and Sahu (2015) <doi:10.18637/jss.v063.i15>.","K. Shuvo Bakar & Sujit K. Sahu","R (≥ 3.4.0)","Bayesian, Spatial, SpatioTemporal, TimeSeries","Shuvo Bakar  <shuvo.bakar at gmail.com>","2018-06-29","3.1","coda, sp, spacetime, extraDistr, grDevices, graphics, stats, utils",NA,NA,NA,NA,NA,NA,"spTDyn",NA,NA,NA,NA
"121","ssgraph","For Bayesian inference in undirected graphical models using spike-and-slab priors, continuous, discrete, and mixed data. The package is implemented the recent improvements in the Bayesian graphical models' literature, including Wang (2015) <doi:10.1214/14-BA916>. To speed up the computations, the computationally intensive tasks of the package are implemented in C++ in parallel using OpenMP.","Reza Mohammadi","BDgraph (≥ 2.52)","Bayesian, HighPerformanceComputing","Reza Mohammadi  <a.mohammadi at uva.nl>","2018-10-05","1.5","Matrix, igraph",NA,NA,NA,"https://www.uva.nl/profile/a.mohammadi",NA,NA,NA,NA,NA,NA,NA
"122","stochvol","Efficient algorithms for fully Bayesian estimation of stochastic volatility (SV) models via Markov chain Monte Carlo (MCMC) methods.","Gregor Kastner [aut, cre]","R (≥ 3.0.2), coda","Bayesian, Finance, TimeSeries","Gregor Kastner  <gregor.kastner at wu.ac.at>","2017-09-19","1.3.3","Rcpp (≥ 0.11), methods, stats, graphics, utils","Rcpp, RcppArmadillo (≥ 0.4)","mvtnorm",NA,NA,NA,NA,NA,"factorstochvol","tensorBSS, tsBSS","factorstochvol",NA
"123","tgp","Bayesian nonstationary, semiparametric nonlinear regression and design by treed Gaussian processes (GPs) with jumps to the limiting linear model (LLM). Special cases also implemented include Bayesian linear models, CART, treed linear models, stationary separable and isotropic GPs, and GP single-index models. Provides 1-d and 2-d plotting functions (with projection and slice capabilities) and tree drawing, designed for visualization of tgp-class output. Sensitivity analysis and multi-resolution models are supported. Sequential experimental design and adaptive sampling functions are also provided, including ALM, ALC, and expected improvement. The latter supports derivative-free optimization of noisy black-box functions.","Robert B. Gramacy and Matt A. Taddy","R (≥ 2.14.0)","Bayesian, ExperimentalDesign, MachineLearning, Spatial","Robert B. Gramacy   <rbgramacy at chicagobooth.edu>","2016-02-07","2.4-14","maptree",NA,"MASS",NA,"http://bobby.gramacy.com/r_packages/tgp",NA,NA,"earlywarnings, plgp","c060, CityWaterBalance, laGP, penalizedSVM, RNCEP","BayesTreePrior, dynaTree, IGP, mlr, rmi",NA,NA
"124","tRophicPosition","Estimates the trophic position of a consumer relative to a baseline species. It implements a Bayesian approach which combines an interface to the 'JAGS' MCMC library of 'rjags' and stable isotopes. Users are encouraged to test the package and send bugs and/or errors to trophicposition-support@googlegroups.com.","Claudio Quezada-Romegialli, Andrew L Jackson, Chris Harrod","R (≥ 3.4.0)","Bayesian","Claudio Quezada-Romegialli  <clquezada at harrodlab.net>","2018-01-29","0.7.5","coda, data.table, ggplot2, gridExtra, hdrcde, MCMCglmm, plyr, rjags, stats, ArgumentCheck",NA,"dplyr, knitr, rmarkdown, testthat, covr",NA,"https://github.com/clquezada/tRophicPosition","https://groups.google.com/d/forum/trophicposition-support",NA,NA,NA,NA,NA,NA
"125","zic","Provides MCMC algorithms for the analysis of zero-inflated count models. The case of stochastic search variable selection (SVS) is also considered. All MCMC samplers are coded in C++ for improved efficiency. A data set considering the demand for health care is provided.","Markus Jochmann","R (≥ 3.0.2)","Bayesian","Markus Jochmann  <markus.jochmann at ncl.ac.uk>","2017-08-22","0.9.1","Rcpp (≥ 0.11.0), coda (≥ 0.14-2)","Rcpp, RcppArmadillo",NA,NA,NA,NA,NA,NA,NA,"mpath",NA,NA
